total,bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
-56.8,Make bet on a draw!,-20,38,H,D,0.856,1.95,3.6,4.33
-56.8,Don't make bet!,0,39,A,A,0.094,5,4,1.75
-36.8,Make bet on home team!,20.0,40,H,H,0.887,2,3.6,4
9.2,Make bet on a draw!,46.0,41,D,D,0.682,2.63,3.3,2.9
-10.8,Make bet on a draw!,-20,42,A,D,0.597,3.3,3.6,2.25
-30.8,Make bet on a draw!,-20,43,A,D,0.957,2.1,3.4,4
-30.8,Don't make bet!,0,44,A,A,0.09,4.1,3.7,1.95
-23.6,Make bet on home team!,7.2,45,H,H,1,1.36,5,11
-43.6,Make bet on home team!,-20,46,D,H,1,1.36,5.5,9
-63.6,Make bet on away team!,-20,47,H,A,0.358,2.1,3.5,3.8
-83.6,Make bet on away team!,-20,48,D,A,0.464,2.38,3.4,3.25
-35.6,Make bet on a draw!,48.0,49,D,D,0.803,2.2,3.4,3.6
10.4,Make bet on away team!,46.0,50,A,A,0.517,2.3,3.5,3.3
15.4,Make bet on home team!,5.0,51,H,H,1,1.25,6.5,14
61.4,Make bet on a draw!,46.0,52,D,D,0.601,2.3,3.3,3.5
70.2,Make bet on home team!,8.8,53,H,H,1,1.44,4.75,8
70.2,Don't make bet!,0,54,D,A,0.005,8,4.75,1.45
125.2,Make bet on a draw!,55.0,55,D,D,0.756,1.91,3.75,4.2
105.2,Make bet on home team!,-20,56,A,H,0.733,1.95,3.5,4.5
105.2,Don't make bet!,0,57,A,A,0.006,7,3.9,1.6
163.2,Make bet on a draw!,58.0,58,D,D,0.665,1.75,3.9,5
163.2,Don't make bet!,0,59,A,A,0.041,4.75,3.8,1.8
168.2,Make bet on home team!,5.0,60,H,H,1,1.25,6.5,14
168.2,Don't make bet!,0,61,D,A,0.009,5.5,3.9,1.7
168.2,Don't make bet!,0,62,A,A,0.042,5,4,1.75
148.2,Make bet on a draw!,-20,63,H,D,0.973,1.75,3.8,5.25
128.2,Make bet on a draw!,-20,64,A,D,0.956,2.25,3.4,3.5
128.2,Don't make bet!,0,65,H,A,0.233,3.4,3.4,2.3
178.2,Make bet on a draw!,50.0,66,D,D,0.724,2.38,3.5,3.1
158.2,Make bet on home team!,-20,67,D,H,0.889,2.25,3.5,3.4
138.2,Make bet on a draw!,-20,68,H,D,0.66,2.3,3.5,3.3
118.2,Make bet on away team!,-20,69,D,A,0.334,2.15,3.6,3.6
118.2,Don't make bet!,0,70,H,A,0.381,3.25,3.6,2.3
123.2,Make bet on home team!,5.0,71,H,H,1,1.25,6.75,13
133.2,Make bet on home team!,10.0,72,H,H,1,1.5,4.5,7.5
139.0,Make bet on home team!,5.8,73,H,H,1,1.29,6,12
139.0,Don't make bet!,0,74,A,A,0.187,2.88,3.6,2.5
119.0,Make bet on home team!,-20,75,A,H,0.854,1.85,3.75,4.6
99.0,Make bet on a draw!,-20,76,H,D,0.979,2.25,3.3,3.6
99.0,Don't make bet!,0,77,D,A,0.04,3.8,3.6,2.05
99.0,Don't make bet!,0,78,D,A,0.163,2.25,3.6,3.3
106.2,Make bet on home team!,7.2,79,H,H,1,1.36,5.5,9
156.2,Make bet on a draw!,50.0,80,D,D,0.844,2.55,3.5,2.88
136.2,Make bet on a draw!,-20,81,H,D,0.652,2.3,3.4,3.4
116.2,Make bet on home team!,-20,82,A,H,0.954,1.73,3.9,5.25
96.2,Make bet on a draw!,-20,83,A,D,0.829,2.55,3.3,3
96.2,Don't make bet!,0,84,A,A,0.001,8,4.75,1.44
96.2,Don't make bet!,0,85,D,A,0.086,5.25,3.8,1.75
105.0,Make bet on home team!,8.8,86,H,H,0.999,1.44,4.75,8
145.0,Make bet on away team!,40.0,87,A,A,0.615,2.45,3.5,3
125.0,Make bet on home team!,-20,88,D,H,0.973,2.38,3.4,3.25
177.0,Make bet on a draw!,52.0,89,D,D,0.748,1.95,3.6,4.2
177.0,Don't make bet!,0,90,A,A,0.246,2.2,3.5,3.5
223.0,Make bet on a draw!,46.0,91,D,D,0.904,2.1,3.3,4
231.0,Make bet on home team!,8.0,92,H,H,1,1.4,5,9
211.0,Make bet on a draw!,-20,93,A,D,0.601,1.83,3.75,4.75
191.0,Make bet on away team!,-20,94,D,A,0.434,1.95,3.75,4
191.0,Don't make bet!,0,95,A,A,0.037,4.5,3.8,1.85
201.0,Make bet on home team!,10.0,96,H,H,0.998,1.5,4.5,7.5
201.0,Don't make bet!,0,97,A,A,0.159,3.9,3.6,2.05
207.0,Make bet on home team!,6.0,98,H,H,1,1.3,5.75,12
187.0,Make bet on a draw!,-20,99,H,D,0.595,2.2,3.4,3.6
167.0,Make bet on a draw!,-20,100,A,D,0.775,3.4,3.4,2.3
167.0,Don't make bet!,0,101,A,A,0.154,4.5,3.6,1.91
211.0,Make bet on a draw!,44.0,102,D,D,0.66,2.8,3.2,2.8
219.0,Make bet on home team!,8.0,103,H,H,1,1.4,5.5,8
219.0,Don't make bet!,0,104,A,A,0.034,6,4.33,1.6
199.0,Make bet on a draw!,-20,105,H,D,0.817,1.7,4,5.5
204.0,Make bet on home team!,5.0,106,H,H,1,1.25,7,12
184.0,Make bet on home team!,-20,107,A,H,1,1.33,5.5,11
184.0,Don't make bet!,0,108,A,A,0.006,6,4.6,1.55
240.0,Make bet on a draw!,56.0,109,D,D,0.963,1.75,3.8,5.25
220.0,Make bet on home team!,-20,110,A,H,0.973,1.8,3.8,4.75
225.8,Make bet on home team!,5.8,111,H,H,1,1.29,6,12
225.8,Don't make bet!,0,112,D,A,0.015,4.5,3.9,1.83
239.2,Make bet on home team!,13.4,113,H,H,0.972,1.67,4,5.75
291.2,Make bet on a draw!,52.0,114,D,D,0.594,2.15,3.6,3.6
